path,label
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Abuse/Abuse028_x264__5.npy,Abuse
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Abuse/Abuse030_x264__5.npy,Abuse
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arrest/Arrest001_x264__5.npy,Arrest
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arrest/Arrest007_x264__5.npy,Arrest
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arrest/Arrest024_x264__5.npy,Arrest
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arrest/Arrest030_x264__5.npy,Arrest
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arrest/Arrest039_x264__5.npy,Arrest
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson007_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson009_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson010_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson011_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson016_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson018_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson022_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson035_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Arson/Arson041_x264__5.npy,Arson
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Assault/Assault006_x264__5.npy,Assault
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Assault/Assault010_x264__5.npy,Assault
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Assault/Assault011_x264__5.npy,Assault
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary005_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary017_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary018_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary021_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary024_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary032_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary033_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary035_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary037_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary061_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary076_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary079_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Burglary/Burglary092_x264__5.npy,Burglary
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion002_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion004_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion007_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion008_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion010_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion011_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion013_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion016_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion017_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion020_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion021_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion022_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion025_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion027_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion028_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion029_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion033_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion035_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion036_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion039_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Explosion/Explosion043_x264__5.npy,Explosion
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Fighting/Fighting003_x264__5.npy,Fighting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Fighting/Fighting018_x264__5.npy,Fighting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Fighting/Fighting033_x264__5.npy,Fighting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Fighting/Fighting042_x264__5.npy,Fighting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/Fighting/Fighting047_x264__5.npy,Fighting
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents001_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents002_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents004_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents009_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents010_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents011_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents012_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents016_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents017_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents019_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents020_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents021_x264__5.npy,RoadAccidents
/root/autodl-tmp/UCFClipFeature/UCFClipFeatures/RoadAccidents/RoadAccidents022_x264__5.npy,RoadAccidents
